Committee,Subcommittee,Name,Title
House Committee on Agriculture,General Farm Commodities and Risk Management,Filemon Vela,Chair
House Committee on Agriculture,General Farm Commodities and Risk Management,Angie Craig,
House Committee on Agriculture,General Farm Commodities and Risk Management,David Scott,
House Committee on Agriculture,General Farm Commodities and Risk Management,Al Lawson Jr.,
House Committee on Agriculture,General Farm Commodities and Risk Management,Glenn Thompson,Ranking Member
House Committee on Agriculture,General Farm Commodities and Risk Management,Austin Scott,
House Committee on Agriculture,General Farm Commodities and Risk Management,"Eric A. ""Rick"" Crawford",
House Committee on Agriculture,General Farm Commodities and Risk Management,Rick W. Allen,
House Committee on Agriculture,General Farm Commodities and Risk Management,Ralph Lee Abraham,
House Committee on Agriculture,General Farm Commodities and Risk Management,Salud O. Carbajal,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",David Scott,Chair
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Filemon Vela,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Stacey E. Plaskett,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Abigail Davis Spanberger,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Antonio Delgado,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Angie Craig,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Sean Patrick Maloney,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Ann Kirkpatrick,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Cynthia Axne,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Austin Scott,Ranking Member
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit","Eric A. ""Rick"" Crawford",
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Mike Bost,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",David Rouzer,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Roger W. Marshall,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Neal P. Dunn,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",Dusty Johnson,
House Committee on Agriculture,"Commodity Exchanges, Energy, and Credit",James R. Baird,
House Committee on Agriculture,Livestock and Foreign Agriculture,Jim Costa,Chair
House Committee on Agriculture,Livestock and Foreign Agriculture,Anthony Brindisi,
House Committee on Agriculture,Livestock and Foreign Agriculture,Jahana Hayes,
House Committee on Agriculture,Livestock and Foreign Agriculture,TJ Cox,
House Committee on Agriculture,Livestock and Foreign Agriculture,Angie Craig,
House Committee on Agriculture,Livestock and Foreign Agriculture,Josh Harder,
House Committee on Agriculture,Livestock and Foreign Agriculture,Filemon Vela,
House Committee on Agriculture,Livestock and Foreign Agriculture,Stacey E. Plaskett,
House Committee on Agriculture,Livestock and Foreign Agriculture,Salud O. Carbajal,
House Committee on Agriculture,Livestock and Foreign Agriculture,Cheri Bustos,
House Committee on Agriculture,Livestock and Foreign Agriculture,David Rouzer,Ranking Member
House Committee on Agriculture,Livestock and Foreign Agriculture,Glenn Thompson,
House Committee on Agriculture,Livestock and Foreign Agriculture,Scott DesJarlais,
House Committee on Agriculture,Livestock and Foreign Agriculture,Vicky Hartzler,
House Committee on Agriculture,Livestock and Foreign Agriculture,Trent Kelly,
House Committee on Agriculture,Livestock and Foreign Agriculture,James Comer,
House Committee on Agriculture,Livestock and Foreign Agriculture,Roger W. Marshall,
House Committee on Agriculture,Livestock and Foreign Agriculture,Don Bacon,
House Committee on Agriculture,Livestock and Foreign Agriculture,Jim Hagedorn,
House Committee on Agriculture,Livestock and Foreign Agriculture,Jimmy Panetta,
House Committee on Appropriations,,Kay Granger,Ranking Member
House Committee on Appropriations,,Harold Rogers,
House Committee on Appropriations,,Robert B. Aderholt,
House Committee on Appropriations,,Michael K. Simpson,
House Committee on Appropriations,,John R. Carter,
House Committee on Appropriations,,Ken Calvert,
House Committee on Appropriations,,Tom Cole,
House Committee on Appropriations,,Mario Diaz-Balart,
House Committee on Appropriations,,Tom Graves,
House Committee on Appropriations,,Steve Womack,
House Committee on Appropriations,,Jeff Fortenberry,
House Committee on Appropriations,,"Charles J. ""Chuck"" Fleischmann",
House Committee on Appropriations,,Jaime Herrera Beutler,
House Committee on Appropriations,,David P. Joyce,
House Committee on Appropriations,,Andy Harris,
House Committee on Appropriations,,Martha Roby,
House Committee on Appropriations,,Mark E. Amodei,
House Committee on Appropriations,,Chris Stewart,
House Committee on Appropriations,,Steven M. Palazzo,
House Committee on Appropriations,,Dan Newhouse,
House Committee on Appropriations,,John R. Moolenaar,
House Committee on Appropriations,,John H. Rutherford,
House Committee on Appropriations,,Will Hurd,
House Committee on Appropriations,,Nita M. Lowey,Chair
House Committee on Appropriations,,Marcy Kaptur,
House Committee on Appropriations,,Peter J. Visclosky,
House Committee on Appropriations,,Jose E. Serrano,
House Committee on Appropriations,,Rosa L. DeLauro,
House Committee on Appropriations,,David E. Price,
House Committee on Appropriations,,Lucille Roybal-Allard,
House Committee on Appropriations,,Sanford D. Bishop Jr.,
House Committee on Appropriations,,Barbara Lee,
House Committee on Appropriations,,Betty McCollum,
House Committee on Appropriations,,Tim Ryan,
House Committee on Appropriations,,C. A. Dutch Ruppersberger,
House Committee on Appropriations,,Debbie Wasserman Schultz,
House Committee on Appropriations,,Henry Cuellar,
House Committee on Appropriations,,Chellie Pingree,
House Committee on Appropriations,,Mike Quigley,
House Committee on Appropriations,,Derek Kilmer,
House Committee on Appropriations,,Matt Cartwright,
House Committee on Appropriations,,Grace Meng,
House Committee on Appropriations,,Mark Pocan,
House Committee on Appropriations,,Katherine M. Clark,
House Committee on Appropriations,,Pete Aguilar,Vice Chair
House Committee on Appropriations,,Lois Frankel,
House Committee on Appropriations,,Cheri Bustos,
House Committee on Appropriations,,Bonnie Watson Coleman,
House Committee on Appropriations,,Brenda L. Lawrence,
House Committee on Appropriations,,Norma J. Torres,
House Committee on Appropriations,,Charlie Crist,
House Committee on Appropriations,,Ann Kirkpatrick,
House Committee on Appropriations,,Ed Case,
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Sanford D. Bishop Jr.,Chair
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Rosa L. DeLauro,Vice Chair
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Chellie Pingree,
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Mark Pocan,
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Barbara Lee,
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Betty McCollum,
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Henry Cuellar,
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Jeff Fortenberry,Ranking Member
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Robert B. Aderholt,
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",Andy Harris,
House Committee on Appropriations,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",John R. Moolenaar,
House Committee on Appropriations,Defense,Peter J. Visclosky,Chair
House Committee on Appropriations,Defense,Betty McCollum,Vice Chair
House Committee on Appropriations,Defense,Tim Ryan,
House Committee on Appropriations,Defense,C. A. Dutch Ruppersberger,
House Committee on Appropriations,Defense,Marcy Kaptur,
House Committee on Appropriations,Defense,Henry Cuellar,
House Committee on Appropriations,Defense,Derek Kilmer,
House Committee on Appropriations,Defense,Pete Aguilar,
House Committee on Appropriations,Defense,Cheri Bustos,
House Committee on Appropriations,Defense,Charlie Crist,
House Committee on Appropriations,Defense,Ann Kirkpatrick,
House Committee on Appropriations,Defense,Ken Calvert,Ranking Member
House Committee on Appropriations,Defense,Harold Rogers,
House Committee on Appropriations,Defense,Tom Cole,
House Committee on Appropriations,Defense,Steve Womack,
House Committee on Appropriations,Defense,Robert B. Aderholt,
House Committee on Appropriations,Defense,John R. Carter,
House Committee on Appropriations,Defense,Mario Diaz-Balart,
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",Nita M. Lowey,Chair
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",Barbara Lee,Vice Chair
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",Grace Meng,
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",David E. Price,
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",Lois Frankel,
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",Norma J. Torres,
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",Harold Rogers,Ranking Member
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",Jeff Fortenberry,
House Committee on Appropriations,"State, Foreign Operations, and Related Programs",Martha Roby,
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Betty McCollum,Chair
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Chellie Pingree,Vice Chair
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Derek Kilmer,
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Jose E. Serrano,
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Mike Quigley,
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Bonnie Watson Coleman,
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Brenda L. Lawrence,
House Committee on Appropriations,"Interior, Environment, and Related Agencies",David P. Joyce,Ranking Member
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Michael K. Simpson,
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Chris Stewart,
House Committee on Appropriations,"Interior, Environment, and Related Agencies",Mark E. Amodei,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Rosa L. DeLauro,Chair
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Lucille Roybal-Allard,Vice Chair
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Barbara Lee,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Mark Pocan,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Katherine M. Clark,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Lois Frankel,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Cheri Bustos,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Bonnie Watson Coleman,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Tom Cole,Ranking Member
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Andy Harris,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Jaime Herrera Beutler,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",John R. Moolenaar,
House Committee on Appropriations,"Labor, Health and Human Services, Education, and Related Agencies",Tom Graves,
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Marcy Kaptur,Chair
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Peter J. Visclosky,Vice Chair
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Debbie Wasserman Schultz,
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Ann Kirkpatrick,
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Derek Kilmer,
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Mark Pocan,
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Lois Frankel,
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Michael K. Simpson,Ranking Member
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Ken Calvert,
House Committee on Appropriations,"Energy and Water Development, and Related Agencies","Charles J. ""Chuck"" Fleischmann",
House Committee on Appropriations,"Energy and Water Development, and Related Agencies",Dan Newhouse,
House Committee on Appropriations,Homeland Security,Lucille Roybal-Allard,Chair
House Committee on Appropriations,Homeland Security,Henry Cuellar,Vice Chair
House Committee on Appropriations,Homeland Security,C. A. Dutch Ruppersberger,
House Committee on Appropriations,Homeland Security,David E. Price,
House Committee on Appropriations,Homeland Security,Debbie Wasserman Schultz,
House Committee on Appropriations,Homeland Security,Grace Meng,
House Committee on Appropriations,Homeland Security,Pete Aguilar,
House Committee on Appropriations,Homeland Security,"Charles J. ""Chuck"" Fleischmann",Ranking Member
House Committee on Appropriations,Homeland Security,Steven M. Palazzo,
House Committee on Appropriations,Homeland Security,Dan Newhouse,
House Committee on Appropriations,Homeland Security,John H. Rutherford,
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Debbie Wasserman Schultz,Chair
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Sanford D. Bishop Jr.,Vice Chair
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Ed Case,
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Tim Ryan,
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Chellie Pingree,
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Matt Cartwright,
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Cheri Bustos,
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",John R. Carter,Ranking Member
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Martha Roby,
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",John H. Rutherford,
House Committee on Appropriations,"Military Construction, Veterans Affairs, and Related Agencies",Will Hurd,
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Jose E. Serrano,Chair
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Matt Cartwright,Vice Chair
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Grace Meng,
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Brenda L. Lawrence,
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Charlie Crist,
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Ed Case,
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Marcy Kaptur,
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Robert B. Aderholt,Ranking Member
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Martha Roby,
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Steven M. Palazzo,
House Committee on Appropriations,"Commerce, Justice, Science, and Related Agencies",Tom Graves,
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Mario Diaz-Balart,Ranking Member
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Steve Womack,
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",John H. Rutherford,
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Will Hurd,
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",David E. Price,Chair
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Mike Quigley,Vice Chair
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Katherine M. Clark,
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Bonnie Watson Coleman,
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Brenda L. Lawrence,
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Norma J. Torres,
House Committee on Appropriations,"Transportation, and Housing and Urban Development, and Related Agencies",Pete Aguilar,
House Committee on Appropriations,Financial Services and General Government,Mike Quigley,Chair
House Committee on Appropriations,Financial Services and General Government,Jose E. Serrano,Vice Chair
House Committee on Appropriations,Financial Services and General Government,Matt Cartwright,
House Committee on Appropriations,Financial Services and General Government,Sanford D. Bishop Jr.,
House Committee on Appropriations,Financial Services and General Government,Norma J. Torres,
House Committee on Appropriations,Financial Services and General Government,Charlie Crist,
House Committee on Appropriations,Financial Services and General Government,Ann Kirkpatrick,
House Committee on Appropriations,Financial Services and General Government,Tom Graves,Ranking Member
House Committee on Appropriations,Financial Services and General Government,Mark E. Amodei,
House Committee on Appropriations,Financial Services and General Government,Chris Stewart,
House Committee on Appropriations,Financial Services and General Government,David P. Joyce,
House Committee on Appropriations,Legislative Branch,Tim Ryan,Chair
House Committee on Appropriations,Legislative Branch,C. A. Dutch Ruppersberger,Vice Chair
House Committee on Appropriations,Legislative Branch,Katherine M. Clark,
House Committee on Appropriations,Legislative Branch,Ed Case,
House Committee on Appropriations,Legislative Branch,Jaime Herrera Beutler,Ranking Member
House Committee on Appropriations,Legislative Branch,Dan Newhouse,
House Committee on Armed Services,,Mac Thornberry,Ranking Member
House Committee on Armed Services,,Joe Wilson,
House Committee on Armed Services,,Rob Bishop,
House Committee on Armed Services,,Michael R. Turner,
House Committee on Armed Services,,Mike D. Rogers,
House Committee on Armed Services,,K. Michael Conaway,
House Committee on Armed Services,,Doug Lamborn,
House Committee on Armed Services,,Robert J. Wittman,
House Committee on Armed Services,,Vicky Hartzler,
House Committee on Armed Services,,Austin Scott,
House Committee on Armed Services,,Mo Brooks,
House Committee on Armed Services,,Paul Cook,
House Committee on Armed Services,,Bradley Byrne,
House Committee on Armed Services,,Sam Graves,
House Committee on Armed Services,,Elise M. Stefanik,
House Committee on Armed Services,,Scott DesJarlais,
House Committee on Armed Services,,Ralph Lee Abraham,
House Committee on Armed Services,,Trent Kelly,
House Committee on Armed Services,,Mike Gallagher,
House Committee on Armed Services,,Matt Gaetz,
House Committee on Armed Services,,Don Bacon,
House Committee on Armed Services,,Jim Banks,
House Committee on Armed Services,,Liz Cheney,
House Committee on Armed Services,,Paul Mitchell,
House Committee on Armed Services,,Jack Bergman,
House Committee on Armed Services,,Michael Waltz,
House Committee on Armed Services,,Adam Smith,Chair
House Committee on Armed Services,,Susan A. Davis,
House Committee on Armed Services,,James R. Langevin,
House Committee on Armed Services,,Rick Larsen,
House Committee on Armed Services,,Jim Cooper,
House Committee on Armed Services,,Joe Courtney,
House Committee on Armed Services,,John Garamendi,
House Committee on Armed Services,,Jackie Speier,
House Committee on Armed Services,,Tulsi Gabbard,
House Committee on Armed Services,,Donald Norcross,
House Committee on Armed Services,,Ruben Gallego,
House Committee on Armed Services,,Seth Moulton,
House Committee on Armed Services,,Salud O. Carbajal,
House Committee on Armed Services,,Anthony G. Brown,Vice Chair
House Committee on Armed Services,,Ro Khanna,
House Committee on Armed Services,,William R. Keating,
House Committee on Armed Services,,Filemon Vela,
House Committee on Armed Services,,Andy Kim,
House Committee on Armed Services,,Kendra S. Horn,
House Committee on Armed Services,,Gilbert Ray Cisneros Jr.,
House Committee on Armed Services,,Chrissy Houlahan,
House Committee on Armed Services,,Jason Crow,
House Committee on Armed Services,,Xochitl Torres Small,
House Committee on Armed Services,,Elissa Slotkin,
House Committee on Armed Services,,Mikie Sherrill,
House Committee on Armed Services,,Veronica Escobar,
House Committee on Armed Services,,Debra A. Haaland,
House Committee on Armed Services,,Jared F. Golden,
House Committee on Armed Services,,Lori Trahan,
House Committee on Armed Services,,Elaine G. Luria,
House Committee on Armed Services,Military Personnel,Trent Kelly,Ranking Member
House Committee on Armed Services,Military Personnel,Jackie Speier,Chair
House Committee on Armed Services,Military Personnel,Susan A. Davis,
House Committee on Armed Services,Military Personnel,Ruben Gallego,
House Committee on Armed Services,Military Personnel,Gilbert Ray Cisneros Jr.,Vice Chair
House Committee on Armed Services,Military Personnel,Veronica Escobar,
House Committee on Armed Services,Military Personnel,Debra A. Haaland,
House Committee on Armed Services,Military Personnel,Lori Trahan,
House Committee on Armed Services,Military Personnel,Elaine G. Luria,
House Committee on Armed Services,Military Personnel,Ralph Lee Abraham,
House Committee on Armed Services,Military Personnel,Liz Cheney,
House Committee on Armed Services,Military Personnel,Paul Mitchell,
House Committee on Armed Services,Military Personnel,Jack Bergman,
House Committee on Armed Services,Military Personnel,Matt Gaetz,
House Committee on Armed Services,Readiness,Doug Lamborn,Ranking Member
House Committee on Armed Services,Readiness,John Garamendi,Chair
House Committee on Armed Services,Readiness,Tulsi Gabbard,
House Committee on Armed Services,Readiness,Andy Kim,Vice Chair
House Committee on Armed Services,Readiness,Kendra S. Horn,
House Committee on Armed Services,Readiness,Chrissy Houlahan,
House Committee on Armed Services,Readiness,Jason Crow,
House Committee on Armed Services,Readiness,Xochitl Torres Small,
House Committee on Armed Services,Readiness,Elissa Slotkin,
House Committee on Armed Services,Readiness,Veronica Escobar,
House Committee on Armed Services,Readiness,Debra A. Haaland,
House Committee on Armed Services,Readiness,Austin Scott,
House Committee on Armed Services,Readiness,Joe Wilson,
House Committee on Armed Services,Readiness,Rob Bishop,
House Committee on Armed Services,Readiness,Mike D. Rogers,
House Committee on Armed Services,Readiness,Mo Brooks,
House Committee on Armed Services,Readiness,Elise M. Stefanik,
House Committee on Armed Services,Readiness,Jack Bergman,
House Committee on Armed Services,Tactical Air and Land Forces,Vicky Hartzler,Ranking Member
House Committee on Armed Services,Tactical Air and Land Forces,Donald Norcross,Chair
House Committee on Armed Services,Tactical Air and Land Forces,James R. Langevin,
House Committee on Armed Services,Tactical Air and Land Forces,Joe Courtney,
